dellignoto, dell'ignoto,
unampiezza un'ampiezza
allora! all'ora!
dallIsola dall'Isola
sullorizzonte sull'orizzonte
dellolio dell'olio
settantanni settant'anni
Listmo L'istmo
quellopera quell'opera
questaria quest'aria
Loceano L'oceano
Sannuncia S'annuncia
dallisola dall'isola
sottacqua? sott'acqua?
Nellinterno Nell'interno
alloccorrenza, all'occorrenza,
unelica un'elica
dallest dall'est
allovest, all'ovest,
quellaltezza quell'altezza
dinchiostro d'inchiostro
dallirrompere dall'irrompere
sincontrasse s'incontrasse
allora? all'ora?
saccosti s'accosti
daria, d'aria,
dallapparecchio dall'apparecchio
dinvestimento. d'investimento.
luragano l'uragano
allOceano all'Oceano
saccorse s'accorse
allAtlantico? all'Atlantico?
singannava. s'ingannava.
Luragano L'uragano
Larmatura L'armatura
allequipaggio all'equipaggio
dallinterno, dall'interno,
allAtlantico. all'Atlantico.
doca. d'oca.
dellAtlantico? dell'Atlantico?
DellInghilterra Dell'Inghilterra
nellultima nell'ultima
Quellisola Quell'isola
dEscario; d'Escario;
davanzare d'avanzare
dellAmazzoni dell'Amazzoni
dallimmenso dall'immenso
larcipelago l'arcipelago
LEuropa L'Europa
lapertura l'apertura
lIrlanda, l'Irlanda,
lInghilterra l'Inghilterra
Lisola L'isola
allInghilterra, all'Inghilterra,
Lantenna L'antenna
sullisolotto sull'isolotto
lAustralia l'Australia
lAfrica l'Africa
collInghilterra. coll'Inghilterra.
lIndia l'India
allInghilterra all'Inghilterra
LAustria L'Austria
lUngheria, l'Ungheria,
lIstria l'Istria
allItalia all'Italia
lItalia? l'Italia?
nellAsia nell'Asia
nellArabia, nell'Arabia,
dellAustria dell'Austria
allAia, all'Aia,
dellarbitrato dell'arbitrato
lAustria l'Austria
lintervento l'intervento
dellAia dell'Aia
Daltronde, D'altronde,
Salza S'alza
Vingannate V'ingannate
dEscario. d'Escario.
Lincessante L'incessante
darmature d'armature
dallurto dall'urto
linterrogato, l'interrogato,
nellabbondanza, nell'abbondanza,
dallEuropa dall'Europa
dimbarazzo, d'imbarazzo,
sapriva s'apriva
lapparecchio l'apparecchio
limpeto l'impeto
lamericano. l'americano.
Centanni, Cent'anni,
nellascensore nell'ascensore
sullimmensa sull'immensa
LAtlantico L'Atlantico
sintende s'intende
lassicuro. l'assicuro.
minquieta. m'inquieta.
labitudine l'abitudine
questuragano quest'uragano
salzava s'alzava
lequipaggio l'equipaggio
collabituarti. coll'abituarti.
poveruomo pover'uomo
dallinvasione dall'invasione
dallalcool. dall'alcool.
dellalcool dell'alcool
lascensore l'ascensore
sabbandonavano s'abbandonavano
Dovè Dov'è
dalcool. d'alcool.
dellalcool. dell'alcool.
dimpiccio. d'impiccio.
dAmerica, d'America,
sullistante. sull'istante.
unautorità un'autorità
lascensore, l'ascensore,
Lelevazione L'elevazione
delluragano. dell'uragano.
lorgia l'orgia
laurora l'aurora
Lidea L'idea
Coshai Cos'hai
dellascensore dell'ascensore
dallincessante dall'incessante
Lassenza L'assenza
dappoggio d'appoggio
Quellenorme Quell'enorme
glindividui gl'individui
dallimpeto dall'impeto
Lacqua L'acqua
allAtlantico, all'Atlantico,
daria. d'aria.
lacqua... l'acqua...
lAtlantico? l'Atlantico?
dellascensore. dell'ascensore.
nellinterno nell'interno
loccasione. l'occasione.
Lascensore L'ascensore
lex l'ex
dalcool d'alcool
quellorgia quell'orgia
simpadronì s'impadronì
lAtlantico, l'Atlantico,
lorifizio l'orifizio
dellAtlantico; dell'Atlantico;
lenorme l'enorme
mezzora, mezz'ora,
dallaltra; dall'altra;
allorlo all'orlo
dallaltro, dall'altro,
Lurto L'urto
LAtlantico, L'Atlantico,
allinvasione all'invasione
dalbero d'albero
lassalivano l'assalivano
derbe, d'erbe,
Lascensore! L'ascensore!
lascensore! l'ascensore!
dellalcool! dell'alcool!
lascensore; l'ascensore;
senzaltro senz'altro
dellAmerica, dell'America,
labitavano l'abitavano
dolio d'olio
sullirrequieto sull'irrequieto
Unafa Un'afa
lamericano l'americano
DallAmerica, Dall'America,
dellequipaggio dell'equipaggio
dellAsia dell'Asia
dorigine d'origine
dimmense d'immense
Quelleruzione Quell'eruzione
lesperimento, l'esperimento,
allascensore all'ascensore
dinvettive d'invettive
quellavanzo quell'avanzo
quelluragano quell'uragano
dingiurie d'ingiurie
dingiurie, d'ingiurie,
allinferno all'inferno
tavverto t'avverto
Unonda Un'onda
dosso. d'osso.
cinquantanni, cinquant'anni,
lestrema l'estrema
unalba un'alba
salzava, s'alzava,
dasilo d'asilo
doca, d'oca,
dellimmensa dell'immensa
dellAtlantico, dell'Atlantico,
dellaurora dell'aurora
lansia, l'ansia,
langoscia, l'angoscia,
allassalto all'assalto
laltra, l'altra,
Dimprovviso D'improvviso
londata l'ondata
allassalto. all'assalto.
Dallinterno Dall'interno
salzavano s'alzavano
Nientaltro, Nient'altro,
dinvestirla d'investirla
dincrostazioni d'incrostazioni
Cincaricheremo C'incaricheremo
dalleruzione dall'eruzione
saprivano s'aprivano
dora. d'ora.
lassalto l'assalto
salzavano. s'alzavano.
sarrestano s'arrestano
deguale d'eguale
Quandanche Quand'anche
singrossava s'ingrossava
limmensa l'immensa
allattacco. all'attacco.
collimpeto coll'impeto
dinsinuarsi d'insinuarsi
dallalto. dall'alto.
quandebbe quand'ebbe
allinglese. all'inglese.
tavevano t'avevano
lamericano, l'americano,
allintenso all'intenso
Quandero Quand'ero
dinformarlo d'informarlo
lemozione l'emozione
dellAlvernia, dell'Alvernia,
lAlvernia. l'Alvernia.
tantaltre tant'altre
sintitolarono s'intitolarono
tuttintera tutt'intera
LEditore L'Editore
mero m'ero
sullindole sull'indole
Maffretto M'affretto
dellanno. dell'anno.
tuttun tutt'un
lautore l'autore
DAndrea. D'Andrea.
sostina s'ostina
allUniversità, all'Università,
alluscita all'uscita
dellaltro. dell'altro.
dellaperta dell'aperta
saccendeva s'accendeva
DAndrea: D'Andrea:
DAndrea D'Andrea
limpressione l'impressione
dalterigia d'alterigia
limpedimento l'impedimento
nientaltro nient'altro
quarantanni. quarant'anni.
lavvenire l'avvenire
dantica d'antica
sappagasse s'appagasse
dellimmobile dell'immobile
dEleonora d'Eleonora
quelluscio. quell'uscio.
chella ch'ella
vassicuro, v'assicuro,
cosha? cos'ha?
sappressò, s'appressò,
questagonia, quest'agonia,
DAndrea, D'Andrea,
sirrigidí s'irrigidí
alletà all'età
Comè Com'è
dabnegazione, d'abnegazione,
dellaltro! dell'altro!
allimprovviso all'improvviso
Va, Va',
linerte l'inerte
va, va',
Va. Va'.
dorrenda d'orrenda
Lunica L'unica
seran s'eran
lora, l'ora,
dagi; d'agi;
quellozio quell'ozio
quellopprimente quell'opprimente
certaria cert'aria
quellombra? quell'ombra?
nellattonito nell'attonito
unaja un'aja
allaltra; all'altra;
unaltranima, un'altr'anima,
datterrare d'atterrare
dellajuto dell'ajuto
sappostava s'appostava
quellimpeto quell'impeto
Luscio, L'uscio,
saprí, s'aprí,
dallamico. dall'amico.
saffrettò s'affrettò
tammazzo! t'ammazzo!
sinterpose, s'interpose,
va. va'.
va… va'…
Ne Ne'
saccaní s'accaní
didee d'idee
luva. l'uva.
letà; l'età;
mintende… m'intende…
quelletà, quell'età,
dellammirazione dell'ammirazione
lammirazione l'ammirazione
sintende, s'intende,
dEleonora, d'Eleonora,
nintendeva. n'intendeva.
Lerede L'erede
nellaula nell'aula
nellaula; nell'aula;
limpaccio l'impaccio
sarrestò s'arrestò
donta, d'onta,
desser d'esser
glincuteva gl'incuteva
dalzar d'alzar
lavvenimento l'avvenimento
Va Va'
va! va'!
Va! Va'!
Sappressò S'appressò
sinterpose: s'interpose:
Lemozione… L'emozione…
alloccorrenza all'occorrenza
lobbligo l'obbligo
chora ch'ora
glinvoltini gl'involtini
dallinsolita dall'insolita
unaltra, un'altra,
allaperto. all'aperto.
daccendere d'accendere
tuttintorno, tutt'intorno,
laperta l'aperta
uneco, un'eco,
alloppressione all'oppressione
quellincertezza quell'incertezza
ludito l'udito
desserne d'esserne
glimportava gl'importava
dellIstituto dell'Istituto
saddormentò s'addormentò
unoscura un'oscura
unombra, un'ombra,
dondera dond'era
Lintesa L'intesa
dallumido dall'umido
daggrottar d'aggrottar
dottobre, d'ottobre,
glimpose gl'impose
dimpegno d'impegno
desistenza, d'esistenza,
lavesse; l'avesse;
dacri d'acri
lanimo, l'animo,
Nientaltro Nient'altro
luscio: l'uscio:
mhai m'hai
nhai n'hai
sabbandonò. s'abbandonò.
savvilí, s'avvilí,
simbatté s'imbatté
allaperto, all'aperto,
Sapriva S'apriva
allaltipiano, all'altipiano,
sincurvava s'incurvava
nellumido nell'umido
allanima all'anima
a a'
taccorgi t'accorgi
tè t'è
dellaffezione dell'affezione
dentrarle d'entrarle
nho n'ho
tho t'ho
dira. d'ira.
dellimpresa dell'impresa
saspettasse s'aspettasse
dissegli. diss'egli.
maffligge m'affligge
Di Di'
di di'
lassistenza l'assistenza
da da'
quellolivo quell'olivo
dellolivo. dell'olivo.
diciottanni, diciott'anni,
sintese s'intese
sappoggiò s'appoggiò
quellatto, quell'atto,
comella com'ella
dissegli, diss'egli,
comebbro, com'ebbro,
nellodore nell'odore
dallampia dall'ampia
santuomo sant'uomo
maspetta m'aspetta
«Sta «Sta'
sasciugava s'asciugava
MammAnto Mamm'Anto'
labito l'abito
Maraste, Maraste',
settanni sett'anni
MammAnto, Mamm'Anto',
quellinattesa quell'inattesa
dellannegato dell'annegato
dintelligenza, d'intelligenza,
MammmAnto Mammm'Anto'
lostinazione l'ostinazione
senzajuto, senz'ajuto,
Bravuomo, Brav'uomo,
nimporta? n'importa?
bellimpiego! bell'impiego!
lintoppo: l'intoppo:
dellimpiego dell'impiego
sullaltipiano sull'altipiano
daria? d'aria?
unaltra. un'altra.
nellanima nell'anima
Sasciugava S'asciugava
MammAnto. Mamm'Anto'.
quellabito quell'abito
Dovè? Dov'è?
Luomo L'uomo
lassessore, l'assessore,
Sè S'è
lorbo… l'orbo…
Taccompagneremo T'accompagneremo
glinvitati gl'invitati
lave, l'ave,
daspettare. d'aspettare.
dellentrata; dell'entrata;
questaltra, quest'altra,
tantanni tant'anni
nellintimità nell'intimità
naccorse: n'accorse:
dalba, d'alba,
dellodore dell'odore
dallangolo dall'angolo
Dovè, Dov'è,
laltipiano. l'altipiano.
daprile. d'aprile.
Nunzia, Nunzia',
lampia l'ampia
saffaccendava s'affaccendava
lagra l'agra
saggrappava s'aggrappava
dellasfissia. dell'asfissia.
allincontro, all'incontro,
sostinavano s'ostinavano
quellunico quell'unico
glingegneri gl'ingegneri
lincerto l'incerto
dinferno d'inferno
dolivi d'olivi
dufficio, d'ufficio,
laffitto l'affitto
moffriste m'offriste
donore. d'onore.
nandate, n'andate,
questultimi quest'ultimi
comegli, com'egli,
quellinfame quell'infame
nellaffitto nell'affitto
allamministrazione all'amministrazione
dallontanare d'allontanare
daccordo, d'accordo,
linfame, l'infame,
lingegnere l'ingegnere
damministrazione, d'amministrazione,
leduzione l'eduzione
limpianto l'impianto
aglinutili agl'inutili
lodio l'odio
dallonta dall'onta
segli s'egli
landar l'andar
daspettar d'aspettar
lusurajo l'usurajo
lumore l'umore
laver l'aver
larringa l'arringa
No, No',
saggiustava s'aggiustava
nintende n'intende
sattortigliava s'attortigliava
Lunica, L'unica,
po: po':
lingordigia l'ingordigia
laffittuario l'affittuario
limpegno, l'impegno,
laccanimento l'accanimento
dellaffittuario dell'affittuario
lindustria l'industria
lestaglio, l'estaglio,
daffitto d'affitto
laccesso l'accesso
lestrazione l'estrazione
lesercizio l'esercizio
saffannava s'affannava
lingratitudine l'ingratitudine
tavvenisse t'avvenisse
allArgentina, all'Argentina,
Da Da'
daverti d'averti
linganno l'inganno
dingrandirla d'ingrandirla
millanni, mill'anni,
benedettuomo! benedett'uomo!
sassoggettava s'assoggettava
dammirazione d'ammirazione
docchi: d'occhi:
sarrampicava s'arrampicava
certansia, cert'ansia,
daglio, d'aglio,
daggiunger d'aggiunger
glielaveva gliel'aveva
lesperienza l'esperienza
dammirazione, d'ammirazione,
lobbligo, l'obbligo,
delleredità dell'eredità
dassalto, d'assalto,
sudiva, s'udiva,
darmadio d'armadio
lorgano! l'organo!
comessi com'essi
daltezza, d'altezza,
lorgano. l'organo.
Anchessa, Anch'essa,
allelemosina, all'elemosina,
glinnesti; gl'innesti;
latto l'atto
nellanimo nell'animo
cera: c'era:
sabbelliva s'abbelliva
lultima! l'ultima!
dellalba dell'alba
daffilare d'affilare
laccetta l'accetta
lhai? l'hai?
dapprensione, d'apprensione,
dellagricoltore dell'agricoltore
allincertezza all'incertezza
nellavviarsi nell'avviarsi
devessergli dev'essergli
sudiva s'udiva
quellorrenda quell'orrenda
Tutte Tutt'e
sarrampicò s'arrampicò
quellindifferenza quell'indifferenza
daffari. d'affari.
glielavesse gliel'avesse
nelloppressura, nell'oppressura,
dapprovazione d'approvazione
laccordo. l'accordo.
dellaltro: dell'altro:
cè. c'è.
unidea un'idea
quellinterminabile quell'interminabile
doperazioni… d'operazioni…
lindice l'indice
dellaltra dell'altra
unarma, un'arma,
quellassassino, quell'assassino,
Lavallo… L'avallo…
mavesse m'avesse
larmonia l'armonia
dallespressione dall'espressione
allusurajo all'usurajo
lemblema l'emblema
dallartritide. dall'artritide.
quarantanni, quarant'anni,
linterna l'interna
glispirava gl'ispirava
leredità l'eredità
glinteressi. gl'interessi.
dinterporsi, d'interporsi,
dellintero dell'intero
taccusava, t'accusava,
cè, c'è,
glindicò gl'indicò
linsolito l'insolito
overa ov'era
daltro… d'altro…
dAmministrazione. d'Amministrazione.
lindole l'indole
daverlo d'averlo
nimporta! n'importa!
Malannata? Mal'annata?
malannata! mal'annata!
dandarsene, d'andarsene,
dellatto dell'atto
lingegnere. l'ingegnere.
dodio d'odio
nellaria nell'aria
sempirono s'empirono
dimboccar d'imboccar
quellalba quell'alba
dangoscia: d'angoscia:
dinferno; d'inferno;
Laccetta, L'accetta,
sintrecciò s'intrecciò
Sta Sta'
Maddormento. M'addormento.
lacciottolato, l'acciottolato,
sarrestò, s'arrestò,
dellarida dell'arida
nellaspetto. nell'aspetto.
glIndegni gl'Indegni
dellimpotenza dell'impotenza
dallantico dall'antico
dassumer d'assumer
daltri, d'altri,
Lozio L'ozio
lorgasmo l'orgasmo
daizzare d'aizzare
dalcuni d'alcuni
mentregli, mentr'egli,
dusura. d'usura.
destate), d'estate),
quellinvito quell'invito
davviarsi, d'avviarsi,
savventarono s'avventarono
dedera d'edera
lultimo; l'ultimo;
glirti gl'irti
sintende. s'intende.
allEcce all'Ecce
nhanno n'hanno
sta sta'
nimporta n'importa
comio com'io
Fa Fa'
allopera? all'opera?
savviò. s'avviò.
luva l'uva
daceto d'aceto
allaccenno all'accenno
dasino, d'asino,
allalba, all'alba,
allopera. all'opera.
LEcce L'Ecce
nellassettar nell'assettar
larco, l'arco,
Allultimo, All'ultimo,
sudí s'udí
lEcce l'Ecce
taccomoda, t'accomoda,
cera, c'era,
santanima; sant'anima;
santanima sant'anima
lincarico l'incarico
santanima, sant'anima,
sappellò. s'appellò.
dappello d'appello
Tho T'ho
nandò. n'andò.
mingiuriano? m'ingiuriano?
pe pe'
charde ch'arde
lusurajo. l'usurajo.
mappello m'appello
comeravamo com'eravamo
dellEccell. dell'Eccell.
ladunco l'adunco
dellorribile dell'orribile
soscurassero s'oscurassero
quellapparizione quell'apparizione
limpressionabilità. l'impressionabilità.
dopera d'opera
dItalia. d'Italia.
dellentrata dell'entrata
Quellunico Quell'unico
dira d'ira
sincavernasse s'incavernasse
lattuazione l'attuazione
danimo d'animo
lindignazione l'indignazione
dellanno dell'anno
delleroe dell'eroe
allimpresa. all'impresa.
SantAnna. Sant'Anna.
fe fe'
dattendere. d'attendere.
lultima, l'ultima,
nellaurea nell'aurea
sintravedeva s'intravedeva
lavorio. l'avorio.
SantAnna Sant'Anna
dargento! d'argento!
danice d'anice
questultima quest'ultima
allobbedienza all'obbedienza
questodio quest'odio
allarrivo all'arrivo
dellinterno, dell'interno,
dellarrivo dell'arrivo
SantAnna, Sant'Anna,
quandessa quand'essa
Allalba, All'alba,
laltare l'altare
Lingegner L'ingegner
lateo, l'ateo,
lateo; l'ateo;
durgenza d'urgenza
lamara l'amara
dappuntir d'appuntir
dallinfanzia, dall'infanzia,
lusura l'usura
lesemplare, l'esemplare,
doffendere d'offendere
quellapparenza quell'apparenza
dapparir d'apparir
Daltra D'altra
nandassero n'andassero
quattrocchi, quattr'occhi,
savvedevano s'avvedevano
dingresso. d'ingresso.
lesempio, l'esempio,
salzavano, s'alzavano,
nandava n'andava
Mo Mo'
pensio. pens'io.
tantè tant'è
dellinferno dell'inferno
delleredità. dell'eredità.
dellorgano dell'organo
nellaltura, nell'altura,
di, di',
dasciugarsi d'asciugarsi
sullabito sull'abito
sullabito… sull'abito…
lincontinenza… l'incontinenza…
dellinfamia dell'infamia
dusura, d'usura,
quellesemplare, quell'esemplare,
unopera un'opera
dAssisi, d'Assisi,
dori d'ori
sullaltra; sull'altra;
dospitalità, d'ospitalità,
unintollerabile un'intollerabile
danelli d'anelli
quellanno, quell'anno,
dallotto dall'otto
poveruomo, pover'uomo,
lannunzio l'annunzio
tuttin tutt'in
Quellundicesima Quell'undicesima
Serano S'erano
dimprovviso d'improvviso
lagitazione l'agitazione
quattranni quattr'anni
glienera glien'era
unoccasione un'occasione
unindignata un'indignata
lintolleranza l'intolleranza
nellinvito nell'invito
unaccorata un'accorata
dabbandonarsi d'abbandonarsi
lotto l'otto
dordine d'ordine
senzalcun senz'alcun
dAssisi d'Assisi
quellanno quell'anno
Nellampio Nell'ampio
loperazione, l'operazione,
darrivare d'arrivare
dimpazienza d'impazienza
lOrsani l'Orsani
duscire, d'uscire,
mezzora. mezz'ora.
allOrsani all'Orsani
lometto l'ometto
daccordo: d'accordo:
lOrsani, l'Orsani,
daffari, d'affari,
sinchinò. s'inchinò.
unallusione, un'allusione,
LOrsani L'Orsani
zè z'è
daltro, d'altro,
sadirò. s'adirò.
daltra d'altra
sarrestò: s'arrestò:
lautorità l'autorità
lOrsani. l'Orsani.
questultimo quest'ultimo
lintero l'intero
sallentava, s'allentava,
sistupidiva; s'istupidiva;
dallassiduo dall'assiduo
lusignoletto l'usignoletto
dellassoluta dell'assoluta
lallettamento l'allettamento
dallideale dall'ideale
quellodiato quell'odiato
lunica l'unica
dintesa d'intesa
allesportazione all'esportazione
dellazienda, dell'azienda,
damara d'amara
Anchella Anch'ella
dellabbandono dell'abbandono
dellampio dell'ampio
quellinfinita quell'infinita
dacque d'acque
daltre d'altre
sapparecchiava s'apparecchiava
quellatteggiamento? quell'atteggiamento?
Nellintensa Nell'intensa
limmobilità l'immobilità
allamico all'amico
dinvidia d'invidia
nullaltro null'altro
saccordava s'accordava
alleducazione all'educazione
luso l'uso
allabitazione, all'abitazione,
labbiano l'abbiano
forsanche… fors'anche…
dintendere d'intendere
dallinterruzione dall'interruzione
dallatteggiamento dall'atteggiamento
chella, ch'ella,
damarmi. d'amarmi.
timprigionava t'imprigionava
safferrò s'afferrò
va va'
quellimprovvisa quell'improvvisa
Sarrestò S'arrestò
comha com'ha
dallignominia, dall'ignominia,
sabbandonò, s'abbandonò,
detere. d'etere.
Letere! L'etere!
delletere: dell'etere:
delletere. dell'etere.
dallaspetto dall'aspetto
desclamazioni d'esclamazioni
lorecchio, l'orecchio,
letere… l'etere…
sappressò s'appressò
quellesame. quell'esame.
dopporsi d'opporsi
dellavvenire, dell'avvenire,
dallincubo dall'incubo
dallincoscienza dall'incoscienza
daspirare d'aspirare
unorfana un'orfana
dinfamia d'infamia
unonesta un'onesta
dellaffetto dell'affetto
quellorfana, quell'orfana,
daffetti d'affetti
loccasione l'occasione
allimprovviso? all'improvviso?
cintendereste? c'intendereste?
mintendete, m'intendete,
daccettar d'accettar
linvito; l'invito;
quellometto quell'ometto
dallocchio dall'occhio
allangoscia all'angoscia
Unispirazione! Un'ispirazione!
lacciuffo l'acciuffo
quellispettore quell'ispettore
dAssicurazione, d'Assicurazione,
tabbi t'abbi
allimprovviso: all'improvviso:
Tinganni! T'inganni!
mingannassi, m'ingannassi,
chio ch'io
centri. c'entri.
Lavrà L'avrà
Dun D'un
dellOrsani, dell'Orsani,
dellassicurazione, dell'assicurazione,
dallefficacia dall'efficacia
singannano! s'ingannano!
damico. d'amico.
centra? c'entra?
questancora quest'ancora
Lelemosina? L'elemosina?
mebbi m'ebbi
dallatroce dall'atroce
Mero M'ero
quellomiciattolo quell'omiciattolo
dagosto d'agosto
nellafa. nell'afa.
dalpagà, d'alpagà,
Co Co'
signo, signo',
alloperajo all'operajo
n n'
ventanni; vent'anni;
allinsú, all'insú,
co co'
be, be',
chedè? ched'è?
lalloggio, l'alloggio,
Pe Pe'
sa! sa'!
lascoltava l'ascoltava
Addo Addo'
Be, Be',
cha ch'a
so so'
Na 'Na
nandò, n'andò,
duovo, d'uovo,
sincavavano s'incavavano
trentanni, trent'anni,
na 'na
fa fa'
vie. vie'.
saccostò; s'accostò;
Jhai J'hai
mo, mo',
sape sape'
signo… signo'…
du du'
saccendevano, s'accendevano,
dombra; d'ombra;
unora; un'ora;
tantaltri tant'altri
Du Du'
dellargine dell'argine
nellombra nell'ombra
largine. l'argine.
dinfinite d'infinite
quellignoto quell'ignoto
nellombra, nell'ombra,
quellinfelice quell'infelice
dorribile d'orribile
quellignoto. quell'ignoto.
lombra, l'ombra,
maspetti, m'aspetti,
taccenda t'accenda
dingresso d'ingresso
dellimpassibilità dell'impassibilità
quellattimo quell'attimo
dallavergli dall'avergli
sabbassavano, s'abbassavano,
sappannavano. s'appannavano.
limpiego. l'impiego.
subriacavano… s'ubriacavano…
laccusa l'accusa
duscire; d'uscire;
danime d'anime
Anchio, Anch'io,
Sinterruppe; S'interruppe;
dolivo d'olivo
glimpedivano gl'impedivano
daccesso d'accesso
questagitazione… quest'agitazione…
nuscí. n'uscí.
Allimprovviso, All'improvviso,
quellaltro. quell'altro.
leffetto l'effetto
dellinfanzia dell'infanzia
quellufficio quell'ufficio
dentrare. d'entrare.
dinvestire d'investire
poveruomo. pover'uomo.
allufficio. all'ufficio.
maspettavi, m'aspettavi,
allaria; all'aria;
maspettavi. m'aspettavi.
dinfanzia, d'infanzia,
dUniversità… d'Università…
lassicuro l'assicuro
nellaprile nell'aprile
Ceri C'eri
thanno t'hanno
Thanno T'hanno
dUniversità; d'Università;
dallora, d'allora,
Lintimità L'intimità
doffenderlo. d'offenderlo.
lastuzia. l'astuzia.
saccrebbero s'accrebbero
quantè quant'è
maveva m'aveva
dinnamorarsi d'innamorarsi
daffetto d'affetto
nellesasperazione nell'esasperazione
daltro. d'altro.
dItalia d'Italia
minganno? m'inganno?
Lamico, L'amico,
leroe? l'eroe?
Tuttal Tutt'al
Leroismo L'eroismo
(dintesa, (d'intesa,
lonore l'onore
maccordava m'accordava
unintera un'intera
dora… d'ora…
quandanche quand'anche
tavessi t'avessi
dellindegna dell'indegna
nandò n'andò
ledificio l'edificio
quellavventore quell'avventore
unimmagine un'immagine
timmaginavo… t'immaginavo…
Di, Di',
mimmaginavi? m'immaginavi?
unansia un'ansia
Mimmaginavi? M'immaginavi?
di… di'…
mimmaginavi, m'immaginavi,
dArtaserse, d'Artaserse,
t t'
sascrivesse s'ascrivesse
lAustria… l'Austria…
lItalia l'Italia
poveruomo! pover'uomo!
questultime quest'ultime
dellIndipendenza. dell'Indipendenza.
lAmerica, l'America,
linferno l'inferno
uninsidia un'insidia
tavviluppa, t'avviluppa,
simpongono, s'impongono,
delluomo dell'uomo
saffacciano s'affacciano
dellesperienza dell'esperienza
allalbero all'albero
cè: c'è:
Tè T'è
davvocato. d'avvocato.
chero ch'ero
dinnamorarmi d'innamorarmi
limmagino, l'immagino,
lobbedienza l'obbedienza
losservanza l'osservanza
questazzurro quest'azzurro
nellinfanzia nell'infanzia
nelladolescenza nell'adolescenza
linfimo, l'infimo,
nelluniverso… nell'universo…
linfinita l'infinita
delluniverso. dell'universo.
delluomo, dell'uomo,
dintendere, d'intendere,
delluniverso dell'universo
vaccadrà v'accadrà
lAlpha l'Alpha
lopinione l'opinione
chesso ch'esso
vaffligge v'affligge
vopprime. v'opprime.
limmaginazione l'immaginazione
questaltro! quest'altro!
vassicuro v'assicuro
loperazione l'operazione
unadorazione un'adorazione
mentrio mentr'io
dellarmadio dell'armadio
naveva n'aveva
dallangoscia, dall'angoscia,
dellarmadio, dell'armadio,
dottone d'ottone
pocanzi poc'anzi
lemme l'emme
nellisola nell'isola
sinnalzano s'innalzano
dIndia d'India
vopprime; v'opprime;
senzalcuna senz'alcuna
limmaginazione, l'immaginazione,
centrano c'entrano
Daccordo, D'accordo,
uningiuria. un'ingiuria.
lindignazione. l'indignazione.
daddosso. d'addosso.
Sintende, S'intende,
dAnita. d'Anita.
ne ne'
Trentanni, Trent'anni,
dAnzio, d'Anzio,
destate, d'estate,
marrischio m'arrischio
sindugia s'indugia
sallontana, s'allontana,
saggrappa s'aggrappa
sabbandona s'abbandona
allinfame all'infame
dellinfame dell'infame
nellandata, nell'andata,
landata l'andata
unatroce un'atroce
Unaltra, Un'altra,
quellatto quell'atto
allinsú all'insú
dellodiosa dell'odiosa
allinsú. all'insú.
bellindustria bell'industria
deffetti. d'effetti.
davviarsi d'avviarsi
secondatto, second'atto,
dapplausi. d'applausi.
nellaspettazione nell'aspettazione
certora cert'ora
dellArena dell'Arena
dimpedirgli d'impedirgli
limpresario l'impresario
dinteressarsi d'interessarsi
dimmedesimarsi d'immedesimarsi
sullaltra sull'altra
Larte L'arte
sinterrompe s'interrompe
darte, d'arte,
Vassicuro V'assicuro
mentrella mentr'ella
allimposizione all'imposizione
lilarità l'ilarità
dellopera dell'opera
darte. d'arte.
sintroduce? s'introduce?
sintroduce s'introduce
naccorse; n'accorse;
lapprensione l'apprensione
daccorgersene d'accorgersene
dattesa, d'attesa,
cera! c'era!
naccorgeva n'accorgeva
labisso l'abisso
sabbandonava s'abbandonava
Sudiva S'udiva
dapplausi! d'applausi!
lautore, l'autore,
dangosciosa d'angosciosa
dapplaudire d'applaudire
lacclamata l'acclamata
leletto l'eletto
centra, c'entra,
lintrusione l'intrusione
dellarte, dell'arte,
nellillusione nell'illusione
levidenza l'evidenza
linsalatina l'insalatina
Mhai M'hai
tuttacceso tutt'acceso
mentregli mentr'egli
nellesasperazione, nell'esasperazione,
lozio l'ozio
duniversità d'università
degoista! d'egoista!
bellabito bell'abito
labito, l'abito,
delletà. dell'età.
lattenti l'attenti
saccomodino. s'accomodino.
laltro… l'altro…
bellinchino bell'inchino
dinnalzare d'innalzare
sindovina s'indovina
mingegnai m'ingegnai
dadattare d'adattare
dellaggressione, dell'aggressione,
lanello l'anello
quellanello. quell'anello.
Lanello… L'anello…
questimbecille quest'imbecille
lavrò l'avrò
simmagini s'immagini
lidea… l'idea…
devesser dev'esser
laccappatojo… l'accappatojo…
dellarte; dell'arte;
sinsaccò s'insaccò
labbozzo l'abbozzo
po… po'…
lindirizzo l'indirizzo
allangosciosa, all'angosciosa,
glinviti gl'inviti
lalito l'alito
nellesaltazione, nell'esaltazione,
quellostinato quell'ostinato
quellunica quell'unica
dellesistenza, dell'esistenza,
labbagliamento l'abbagliamento
sincomodi, s'incomodi,
questangolo… quest'angolo…
lajuto l'ajuto
quellimmagine quell'immagine
dimprovviso, d'improvviso,
allincantevole all'incantevole
lincubo l'incubo
pocanzi. poc'anzi.
quellestraneo quell'estraneo
leco l'eco
unesortazione un'esortazione
allarte, all'arte,
diniziarla; d'iniziarla;
lattenti, l'attenti,
glimpartiva: gl'impartiva:
Glielhai Gliel'hai
comè: com'è:
dOlanda d'Olanda
lamico. l'amico.
dallimpressione dall'impressione
quelluomo. quell'uomo.
